ID_Lancamento,Data,Descricao,Categoria,Valor (R$),Forma_de_Pagamento,Status,Unnamed: 7,Ganhos,Gastos,Unnamed: 10,Tipo de Pagamento,Quantidade,Unnamed: 13,Mês/Ano,Balanço Mensal
45,2025-05-25 00:00:00,Conta de Luz,Despesa,-165,Débito Automático,Concluído,,35,,,,,,,
46,2025-05-28 00:00:00,Spa dos Pés,Receita,60,PIX,Concluído,,95,,,,,,,
47,2025-06-01 00:00:00,Manicure,Receita,35,PIX,Concluído,,70,,,,,,,
48,2025-06-04 00:00:00,Compra de Material Descartável,Despesa,-90,Dinheiro,Concluído,,45,,,,,,,
49,2025-06-07 00:00:00,Pedicure,Receita,40,Cartão de Débito,Concluído,,35,,,,,,,
50,2025-06-10 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,165,,,,,,,
51,2025-06-11 00:00:00,Impostos (Simples Nacional),Despesa,-250,Boleto,Pendente,,35,,,,,,,
52,2025-06-14 00:00:00,Alongamento de Unhas,Receita,160,Cartão de Crédito,Concluído,,180,,,,,,,
53,2025-06-18 00:00:00,Manicure,Receita,35,Dinheiro,Concluído,,75,,,,,,,
54,2025-06-22 00:00:00,Venda de Produtos,Receita,85,PIX,Concluído,,70,,,,,,,
55,2025-06-25 00:00:00,Conta de Luz,Despesa,-160,Débito Automático,Concluído,,35,,,,,,,
56,2025-06-28 00:00:00,Manicure e Pedicure,Receita,70,Cartão de Débito,Concluído,,170,,,,,,,
57,2025-07-02 00:00:00,Spa dos Pés,Receita,65,PIX,Concluído,,45,,,,,,,
58,2025-07-05 00:00:00,Compra de Esmaltes,Despesa,-110,Dinheiro,Concluído,,120,,,,,,,
59,2025-07-08 00:00:00,Manicure,Receita,35,PIX,Concluído,,75,,,,,,,
60,2025-07-10 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,40,,,,,,,
61,2025-07-12 00:00:00,Conta de Água,Despesa,-85,Débito Automático,Concluído,,200,,,,,,,
62,2025-07-15 00:00:00,Alongamento de Unhas,Receita,160,Cartão de Crédito,Concluído,,,,,,,,,
63,2025-07-19 00:00:00,Pedicure,Receita,40,Dinheiro,Concluído,,,,,,,,,
64,2025-07-23 00:00:00,Venda de Produtos,Receita,150,PIX,Concluído,,,,,,,,,
65,2025-07-25 00:00:00,Conta de Luz,Despesa,-170,Débito Automático,Concluído,,,,,,,,,
66,2025-07-29 00:00:00,Manicure e Pedicure,Receita,70,Cartão de Débito,Concluído,,,,,,,,,
67,2025-08-01 00:00:00,Manicure,Receita,35,PIX,Concluído,,,,,,,,,
68,2025-08-04 00:00:00,Marketing e Divulgação,Despesa,-150,Transferência,Concluído,,,,,,,,,
69,2025-08-07 00:00:00,Spa dos Pés,Receita,65,Dinheiro,Concluído,,,,,,,,,
70,2025-08-10 00:00:00,Aluguel do Espaço,Despesa,-500,Boleto,Concluído,,,,,,,,,
71,2025-08-11 00:00:00,Conta de Internet,Despesa,-100,Débito Automático,Concluído,,,,,,,,,
72,2025-08-15 00:00:00,Alongamento de Unhas,Receita,165,Cartão de Crédito,Concluído,,,,,,,,,
73,2025-08-18 00:00:00,Manicure,Receita,35,Dinheiro,Concluído,,,,,,,,,
74,2025-08-22 00:00:00,Venda de Produtos,Receita,95,PIX,Concluído,,,,,,,,,
75,2025-08-25 00:00:00,Conta de Luz,Despesa,-165,Débito Automático,Pendente,,,,,,,,,
76,2025-08-28 00:00:00,Manicure e Pedicure,Receita,70,Cartão de Débito,Concluído,,,,,,,,,
77,2025-09-02 00:00:00,Pedicure,Receita,45,PIX,Concluído,,,,,,,,,
78,2025-09-05 00:00:00,Compra de Esmaltes e Acetona,Despesa,-130,Dinheiro,Concluído,,,,,,,,,
79,2025-09-09 00:00:00,Manicure,Receita,35,Cartão de Débito,Concluído,,,,,,,,,
80,2025-09-10 00:00:00,Aluguel do Espaço,Despesa,-520,Boleto,Concluído,,,,,,,,,
81,2025-09-12 00:00:00,Impostos (Simples Nacional),Despesa,-280,Boleto,Concluído,,,,,,,,,
82,2025-09-16 00:00:00,Alongamento de Unhas,Receita,165,PIX,Concluído,,,,,,,,,
83,2025-09-20 00:00:00,Manicure,Receita,35,Dinheiro,Concluído,,,,,,,,,
84,2025-09-24 00:00:00,Venda de Produtos,Receita,180,Cartão de Crédito,Concluído,,,,,,,,,
85,2025-09-25 00:00:00,Conta de Luz,Despesa,-175,Débito Automático,Concluído,,,,,,,,,
86,2025-09-29 00:00:00,Manicure e Pedicure,Receita,75,PIX,Concluído,,,,,,,,,
87,2025-10-01 00:00:00,Spa dos Pés,Receita,70,Cartão de Débito,Concluído,,,,,,,,,
88,2025-10-04 00:00:00,Compra de Material Descartável,Despesa,-100,Dinheiro,Concluído,,,,,,,,,
89,2025-10-07 00:00:00,Manicure,Receita,35,PIX,Concluído,,,,,,,,,
90,2025-10-10 00:00:00,Aluguel do Espaço,Despesa,-520,Boleto,Concluído,,,,,,,,,
91,2025-10-11 00:00:00,Conta de Água,Despesa,-90,Débito Automático,Concluído,,,,,,,,,
92,2025-10-14 00:00:00,Alongamento de Unhas,Receita,170,Cartão de Crédito,Concluído,,,,,,,,,
93,2025-10-17 00:00:00,Pedicure,Receita,45,Dinheiro,Concluído,,,,,,,,,
94,2025-10-20 00:00:00,Venda de Produtos,Receita,120,PIX,Concluído,,,,,,,,,
95,2025-10-25 00:00:00,Conta de Luz,Despesa,-180,Débito Automático,Concluído,,,,,,,,,
96,2025-10-28 00:00:00,Manicure e Pedicure,Receita,75,Cartão de Débito,Pendente,,,,,,,,,
97,2025-10-30 00:00:00,Compra de Lanche para Clientes,Despesa,-50,Dinheiro,Concluído,,,,,,,,,
98,2025-11-03 00:00:00,Manicure,Receita,40,PIX,Concluído,,,,,,,,,
99,2025-11-06 00:00:00,Venda de Produtos,Receita,200,Cartão de Crédito,Concluído,,,,,,,,,
100,2025-11-10 00:00:00,Aluguel do Espaço,Despesa,-520,Boleto,Pendente,,,,,,,,,
